"config","type","n_par1","n_par2","deg_mean","deg_var","deg_skew","C","L","sigma","Q","r_assort","lcc_frac"
"ER_p02","ER",0.2,10,19.77,14.86,0.029,0.1995,1.816,0.85,0.1645,-0.0209,1
"BA_m20","BA",0.2,10,35.8,202.44,0.646,0.4734,1.638,1.028,0.0911,-0.019,1
"WS_p02_k5","WS",0.2,5,10,3.43,0.15,0.2122,2.321,1.809,0.4257,-0.0026,1
"WS_p02_k10","WS",0.2,10,20,6.73,0.028,0.289,1.832,1.2,0.3156,-0.0167,1
"WS_p02_k20","WS",0.2,20,40,12.01,-0.001,0.4346,1.596,0.841,0.1734,-0.006,1
"ER_p05","ER",0.5,10,49.65,24.78,0.017,0.5013,1.498,0.787,0.0727,-0.0149,1
"BA_m50","BA",0.5,10,74.5,171.78,-0.558,0.7962,1.247,0.906,0.032,-0.0088,1
"WS_p05_k5","WS",0.5,5,10,6.93,0.176,0.1021,2.232,0.906,0.2673,-0.0354,1
"WS_p05_k10","WS",0.5,10,20,13.3,0.151,0.202,1.81,0.849,0.1647,-0.0197,1
"WS_p05_k20","WS",0.5,20,40,22.42,-0.121,0.4028,1.596,0.78,0.092,-0.0211,1
"ER_p09","ER",0.9,10,89.22,9.12,-0.286,0.9013,1.099,0.933,0.0165,-0.0187,1
"BA_m90","BA",0.9,10,98.1,2.8,-2.994,0.9913,1.009,0.996,0,-0.0225,1
"WS_p09_k5","WS",0.9,5,10,9.07,0.198,0.1017,2.23,0.903,0.2604,-0.0204,1
"WS_p09_k10","WS",0.9,10,20,15.79,0.209,0.2009,1.811,0.844,0.1623,-0.0142,1
"WS_p09_k20","WS",0.9,20,40,32.81,-0.089,0.4093,1.596,0.792,0.091,-0.0128,1
