"name","type","par1","par2","n","K","J_optim","J_forward","J_ode","gap_pct","time_sec","J_ode_scaled","gap_corrected"
"BA_m25_n50_K5","BA",0.5,10,50,5,246.3506,268.5266,563.314,-52.33,42.8,293.860746429304,-8.62
"BA_m25_n50_K20","BA",0.5,10,50,20,243.0518,276.0188,563.314,-51,131.1,293.860746429304,-6.07
"BA_m50_n100_K5","BA",0.5,10,100,5,494.3492,527.2667,563.314,-6.4,27.6,563.313974398438,-6.4
"BA_m50_n100_K20","BA",0.5,10,100,20,466.8531,505.6446,563.314,-10.24,140.4,563.313974398438,-10.24
"BA_m100_n200_K5","BA",0.5,10,200,5,944.7595,984.0295,563.314,74.69,81.2,1092.02350271199,-9.89
"BA_m100_n200_K20","BA",0.5,10,200,20,913.652,1073.141,563.314,90.5,284.9,1092.02350271199,-1.73
"BA_m250_n500_K5","BA",0.5,10,500,5,2312.2542,2344.7262,563.314,316.24,782.9,2674.93858879917,-12.34
"BA_m250_n500_K20","BA",0.5,10,500,20,2305.3803,2490.7083,563.314,342.15,2138.2,2674.93858879917,-6.89
"ER_p05_n50_K5","ER",0.5,10,50,5,197.2028,274.5713,563.314,-51.26,26.2,293.860746429304,-6.56
"ER_p05_n50_K20","ER",0.5,10,50,20,230.7127,284.9317,563.314,-49.42,65.2,293.860746429304,-3.04
"ER_p05_n100_K5","ER",0.5,10,100,5,404.0674,488.3329,563.314,-13.31,55.3,563.313974398438,-13.31
"ER_p05_n100_K20","ER",0.5,10,100,20,414.823,460.9075,563.314,-18.18,77.6,563.313974398438,-18.18
"ER_p05_n200_K5","ER",0.5,10,200,5,839.7842,847.7867,563.314,50.5,61,1092.02350271199,-22.37
"ER_p05_n200_K20","ER",0.5,10,200,20,826.0394,927.4979,563.314,64.65,137,1092.02350271199,-15.07
"ER_p05_n500_K5","ER",0.5,10,500,5,1998.2134,2093.9629,563.314,271.72,268,2674.93858879917,-21.72
"ER_p05_n500_K20","ER",0.5,10,500,20,2002.8945,2130.654,563.314,278.24,855.2,2674.93858879917,-20.35
"WS_p05_k5_n50_K5","WS",0.5,5,50,5,161.8326,180.1146,563.314,-68.03,29.6,293.860746429304,-38.71
"WS_p05_k5_n50_K20","WS",0.5,5,50,20,176.8443,216.4443,563.314,-61.58,87.2,293.860746429304,-26.34
"WS_p05_k10_n100_K5","WS",0.5,10,100,5,338.2645,427.1335,563.314,-24.17,39.9,563.313974398438,-24.17
"WS_p05_k10_n100_K20","WS",0.5,10,100,20,348.1155,395.685,563.314,-29.76,102.5,563.313974398438,-29.76
"WS_p05_k20_n200_K5","WS",0.5,20,200,5,719.9565,719.6595,563.314,27.75,50.1,1092.02350271199,-34.1
"WS_p05_k20_n200_K20","WS",0.5,20,200,20,733.009,749.905,563.314,33.12,145,1092.02350271199,-31.33
"WS_p05_k50_n500_K5","WS",0.5,50,500,5,1761.6803,1880.4143,563.314,233.81,151.4,2674.93858879917,-29.7
"WS_p05_k50_n500_K20","WS",0.5,50,500,20,1860.3867,1942.3752,563.314,244.81,454.4,2674.93858879917,-27.39
