"name","total_effort","peak","eff_duration","front_loading","cv","ode_cor"
"ER_p02_K5",40.54,0.9683,0.416,1,1.191,0.385
"ER_p02_K20",55.74,0.9632,1,0.639,0.421,0.629
"ER_p02_K100",41.87,0.9139,0.871,0.57,0.618,0.03
"BA_m20_K5",62.41,0.9632,1,0.694,0.446,0.603
"BA_m20_K20",53.42,0.8559,1,0.618,0.32,0.793
"BA_m20_K100",71.26,0.9257,0.99,0.568,0.24,0.969
"WS_p02_k5_K5",38.05,0.8308,1,0.666,0.69,-0.09
"WS_p02_k5_K20",50.04,0.7148,1,0.589,0.282,0.844
"WS_p02_k5_K100",48.08,0.7149,0.99,0.567,0.244,0.947
"WS_p02_k10_K5",35.98,0.8706,0.416,1,1.191,0.385
"WS_p02_k10_K20",79.45,0.9689,1,0.584,0.257,0.926
"WS_p02_k10_K100",40.05,0.8404,0.901,0.546,0.596,0.145
"WS_p02_k20_K5",47.34,0.6899,1,0.607,0.288,0.638
"WS_p02_k20_K20",45.55,0.874,0.881,0.536,0.597,-0.343
"WS_p02_k20_K100",58.97,0.8873,0.99,0.56,0.237,0.966
"ER_p05_K5",74.44,0.9533,1,0.604,0.263,0.797
"ER_p05_K20",85.82,0.9379,1,0.557,0.225,0.983
"ER_p05_K100",67.57,0.9536,0.99,0.57,0.247,0.949
"BA_m50_K5",51.86,0.9551,0.624,0.823,0.794,0.578
"BA_m50_K20",60.79,0.955,1,0.606,0.321,0.769
"BA_m50_K100",72.18,0.8443,0.99,0.559,0.229,0.997
"WS_p05_k5_K5",38.93,0.8594,0.584,0.722,0.812,-0.142
"WS_p05_k5_K20",54.09,0.9689,1,0.577,0.295,0.785
"WS_p05_k5_K100",34.25,0.973,0.822,0.472,0.7,-0.075
"WS_p05_k10_K5",21.37,0.9478,0.208,0.961,1.797,0.255
"WS_p05_k10_K20",40.94,0.8519,0.95,0.617,0.439,0.577
"WS_p05_k10_K100",58.42,0.9325,0.99,0.576,0.268,0.883
"WS_p05_k20_K5",34.71,0.9486,0.416,1,1.213,0.378
"WS_p05_k20_K20",69.36,0.8979,1,0.581,0.255,0.916
"WS_p05_k20_K100",69.21,0.7921,0.99,0.559,0.229,0.997
"ER_p09_K5",62.86,0.9182,1,0.636,0.334,0.688
"ER_p09_K20",71.39,0.9565,1,0.578,0.257,0.905
"ER_p09_K100",64.05,0.9622,0.99,0.581,0.279,0.856
"BA_m90_K5",85.37,0.97,1,0.571,0.218,0.877
"BA_m90_K20",80.07,0.9406,1,0.567,0.233,0.97
"BA_m90_K100",72.05,0.9516,0.99,0.564,0.237,0.975
"WS_p09_k5_K5",38.58,0.9686,0.416,1,1.194,0.384
"WS_p09_k5_K20",64.22,0.9556,1,0.595,0.288,0.838
"WS_p09_k5_K100",74.61,0.9634,0.99,0.563,0.235,0.981
"WS_p09_k10_K5",53.39,0.9691,1,0.72,0.527,0.564
"WS_p09_k10_K20",36.68,0.7236,0.941,0.667,0.601,0.12
"WS_p09_k10_K100",53.72,0.9304,0.99,0.572,0.268,0.876
"WS_p09_k20_K5",39.57,0.9426,0.624,0.949,1.032,0.444
"WS_p09_k20_K20",74.07,0.8436,1,0.56,0.227,0.982
"WS_p09_k20_K100",70.68,0.895,0.99,0.563,0.233,0.987
"ER_p05_n50_K5",30.52,0.9705,0.416,1,1.301,0.352
"ER_p05_n50_K20",37.58,0.6297,1,0.513,0.416,0.155
"BA_m25_n50_K5",57.01,0.9447,1,0.669,0.421,0.595
"BA_m25_n50_K20",67.34,0.8921,1,0.572,0.244,0.944
"WS_p05_k5_n50_K5",45.34,0.7433,1,0.725,0.529,0.555
"WS_p05_k5_n50_K20",40.55,0.727,0.881,0.606,0.562,0.208
"ER_p05_n100_K5",74.44,0.9533,1,0.604,0.263,0.797
"ER_p05_n100_K20",85.82,0.9379,1,0.557,0.225,0.983
"BA_m50_n100_K5",71.91,0.849,1,0.586,0.234,0.849
"BA_m50_n100_K20",60.79,0.955,1,0.606,0.321,0.769
"WS_p05_k10_n100_K5",27.91,0.7152,0.792,0.713,0.883,0.04
"WS_p05_k10_n100_K20",40.94,0.8519,0.95,0.617,0.439,0.577
"ER_p05_n200_K5",66.91,0.8606,1,0.624,0.298,0.747
"ER_p05_n200_K20",66.16,0.7636,1,0.563,0.229,0.979
"BA_m100_n200_K5",77.09,0.9613,1,0.599,0.254,0.815
"BA_m100_n200_K20",75.52,0.8328,1,0.558,0.225,0.983
"WS_p05_k20_n200_K5",49.27,0.9543,1,0.818,0.739,0.468
"WS_p05_k20_n200_K20",65.11,0.7362,1,0.559,0.226,0.982
"ER_p05_n500_K5",86.89,0.9675,1,0.563,0.211,0.885
"ER_p05_n500_K20",87.18,0.9682,1,0.561,0.228,0.982
"BA_m250_n500_K5",59.5,0.9481,0.624,0.809,0.781,0.587
"BA_m250_n500_K20",77.83,0.9108,1,0.563,0.229,0.977
"WS_p05_k50_n500_K5",57.76,0.9356,0.624,0.815,0.781,0.587
"WS_p05_k50_n500_K20",70.76,0.7949,1,0.563,0.229,0.98
